Date,Time,Address,Players,Max Players,Version
2021-02-09,11:23:12.149155,51.79.37.206:2303,44,99,2.00.146773
2021-02-09,11:28:14.340610,51.79.37.206:2303,46,99,2.00.146773
2021-02-09,11:33:16.300441,51.79.37.206:2303,46,99,2.00.146773
2021-02-09,11:38:18.096555,51.79.37.206:2303,45,99,2.00.146773
2021-02-09,11:43:20.292675,51.79.37.206:2303,44,99,2.00.146773
2021-02-09,11:48:22.805035,51.79.37.206:2303,39,99,2.00.146773
2021-02-09,11:53:24.362256,51.79.37.206:2303,41,99,2.00.146773
2021-02-09,11:58:26.845312,51.79.37.206:2303,43,99,2.00.146773
2021-02-09,12:03:28.940830,51.79.37.206:2303,45,99,2.00.146773
2021-02-09,12:08:30.663114,51.79.37.206:2303,45,99,2.00.146773
2021-02-09,12:13:32.641898,51.79.37.206:2303,43,99,2.00.146773
2021-02-09,12:18:34.192395,51.79.37.206:2303,43,99,2.00.146773
2021-02-09,12:23:37.141423,51.79.37.206:2303,45,99,2.00.146773
2021-02-09,12:28:39.308263,51.79.37.206:2303,47,99,2.00.146773
2021-02-09,12:33:41.175110,51.79.37.206:2303,45,99,2.00.146773
2021-02-09,12:38:43.639052,51.79.37.206:2303,44,99,2.00.146773
2021-02-09,12:43:45.244140,51.79.37.206:2303,42,99,2.00.146773
2021-02-09,12:48:47.207790,51.79.37.206:2303,42,99,2.00.146773
2021-02-09,12:53:49.927953,51.79.37.206:2303,46,99,2.00.146773
2021-02-09,12:58:51.400094,51.79.37.206:2303,50,99,2.00.146773
2021-02-09,13:03:53.676112,51.79.37.206:2303,46,99,2.00.146773
2021-02-09,13:08:55.283018,51.79.37.206:2303,50,99,2.00.146773
2021-02-09,13:13:57.389393,51.79.37.206:2303,48,99,2.00.146773
2021-02-09,13:18:59.132231,51.79.37.206:2303,52,99,2.00.146773
2021-02-09,13:24:01.315333,51.79.37.206:2303,52,99,2.00.146773
2021-02-09,13:29:03.861965,51.79.37.206:2303,41,99,2.00.146773
2021-02-09,13:34:05.673986,51.79.37.206:2303,44,99,2.00.146773
2021-02-09,13:39:07.349997,51.79.37.206:2303,44,99,2.00.146773
2021-02-09,13:44:09.952654,51.79.37.206:2303,50,99,2.00.146773
2021-02-09,13:49:11.544916,51.79.37.206:2303,49,99,2.00.146773
2021-02-09,13:54:13.571814,51.79.37.206:2303,48,99,2.00.146773
2021-02-09,13:59:14.865199,51.79.37.206:2303,43,99,2.00.146773
2021-02-09,14:04:16.039891,51.79.37.206:2303,46,99,2.00.146773
2021-02-09,14:09:18.106983,51.79.37.206:2303,48,99,2.00.146773
2021-02-09,14:14:20.129599,51.79.37.206:2303,47,99,2.00.146773
2021-02-09,14:19:22.074799,51.79.37.206:2303,48,99,2.00.146773
2021-02-09,14:24:24.485162,51.79.37.206:2303,53,99,2.00.146773
2021-02-09,14:29:26.136653,51.79.37.206:2303,53,99,2.00.146773
2021-02-09,14:34:28.155064,51.79.37.206:2303,46,99,2.00.146773
2021-02-09,14:39:30.753931,51.79.37.206:2303,47,99,2.00.146773
2021-02-09,14:44:32.430419,51.79.37.206:2303,46,99,2.00.146773
2021-02-09,14:49:34.510081,51.79.37.206:2303,49,99,2.00.146773
2021-02-09,14:54:36.317997,51.79.37.206:2303,46,99,2.00.146773
2021-02-09,14:59:38.525000,51.79.37.206:2303,46,99,2.00.146773
2021-02-09,15:04:40.378355,51.79.37.206:2303,50,99,2.00.146773
2021-02-09,15:09:42.357667,51.79.37.206:2303,55,99,2.00.146773
2021-02-09,15:14:44.511908,51.79.37.206:2303,55,99,2.00.146773
2021-02-09,15:19:46.431667,51.79.37.206:2303,59,99,2.00.146773
2021-02-09,15:24:48.580556,51.79.37.206:2303,63,99,2.00.146773
2021-02-09,15:29:50.066191,51.79.37.206:2303,65,99,2.00.146773
2021-02-09,15:34:52.837374,51.79.37.206:2303,69,99,2.00.146773
2021-02-09,15:39:54.463813,51.79.37.206:2303,62,99,2.00.146773
2021-02-09,15:44:56.335064,51.79.37.206:2303,63,99,2.00.146773
2021-02-09,15:49:58.361369,51.79.37.206:2303,65,99,2.00.146773
2021-02-09,15:55:00.826894,51.79.37.206:2303,63,99,2.00.146773
2021-02-09,16:00:13.697027,51.79.37.206:2303,63,99,2.00.146773
2021-02-09,16:05:16.129481,51.79.37.206:2303,63,99,2.00.146773
2021-02-09,16:10:18.675705,51.79.37.206:2303,61,99,2.00.146773
2021-02-09,16:15:20.430482,51.79.37.206:2303,65,99,2.00.146773
2021-02-09,16:20:22.166862,51.79.37.206:2303,64,99,2.00.146773
2021-02-09,16:25:25.103714,51.79.37.206:2303,66,99,2.00.146773
2021-02-09,16:30:27.799587,51.79.37.206:2303,64,99,2.00.146773
2021-02-09,16:34:34.486294,51.79.37.206:2303,65,99,2.00.146773
2021-02-09,16:39:37.113989,51.79.37.206:2303,70,99,2.00.146773
2021-02-09,16:44:39.937614,51.79.37.206:2303,70,99,2.00.146773
2021-02-09,16:49:42.241756,51.79.37.206:2303,68,99,2.00.146773
2021-02-09,16:54:45.707318,51.79.37.206:2303,69,99,2.00.146773
2021-02-09,16:59:48.340337,51.79.37.206:2303,72,99,2.00.146773
2021-02-09,17:04:50.976788,51.79.37.206:2303,74,99,2.00.146773
2021-02-09,17:09:53.461979,51.79.37.206:2303,86,99,2.00.146773
2021-02-09,17:14:55.200059,51.79.37.206:2303,46,99,2.00.146773
2021-02-09,17:19:58.456360,51.79.37.206:2303,46,99,2.00.146773
2021-02-09,17:25:00.890829,51.79.37.206:2303,47,99,2.00.146773
2021-02-09,17:30:02.411130,51.79.37.206:2303,53,99,2.00.146773
2021-02-09,17:35:04.768344,51.79.37.206:2303,52,99,2.00.146773
2021-02-09,17:40:06.487216,51.79.37.206:2303,50,99,2.00.146773
2021-02-09,17:45:08.070469,51.79.37.206:2303,49,99,2.00.146773
2021-02-09,17:50:10.419321,51.79.37.206:2303,51,99,2.00.146773
2021-02-09,17:55:12.836436,51.79.37.206:2303,48,99,2.00.146773
2021-02-09,18:00:15.688091,51.79.37.206:2303,46,99,2.00.146773
2021-02-09,18:05:17.256317,51.79.37.206:2303,49,99,2.00.146773
2021-02-09,18:10:19.275180,51.79.37.206:2303,55,99,2.00.146773
2021-02-09,18:15:21.298191,51.79.37.206:2303,55,99,2.00.146773
2021-02-09,18:20:23.525131,51.79.37.206:2303,57,99,2.00.146773
2021-02-09,18:25:25.749475,51.79.37.206:2303,56,99,2.00.146773
2021-02-09,18:30:28.544279,51.79.37.206:2303,59,99,2.00.146773
2021-02-09,18:35:30.934245,51.79.37.206:2303,59,99,2.00.146773
2021-02-09,18:40:34.661701,51.79.37.206:2303,57,99,2.00.146773
2021-02-09,18:45:38.878209,51.79.37.206:2303,64,99,2.00.146773
2021-02-09,18:50:42.428326,51.79.37.206:2303,63,99,2.00.146773
2021-02-09,18:55:45.285899,51.79.37.206:2303,64,99,2.00.146773
2021-02-09,19:00:47.988769,51.79.37.206:2303,62,99,2.00.146773
2021-02-09,19:05:50.897861,51.79.37.206:2303,61,99,2.00.146773
2021-02-09,19:10:52.016746,51.79.37.206:2303,67,99,2.00.146773
2021-02-09,19:15:53.983579,51.79.37.206:2303,71,99,2.00.146773
2021-02-09,19:20:54.986137,51.79.37.206:2303,75,99,2.00.146773
2021-02-09,19:25:57.093240,51.79.37.206:2303,80,99,2.00.146773
2021-02-09,19:30:58.862815,51.79.37.206:2303,86,99,2.00.146773
2021-02-09,19:35:59.986126,51.79.37.206:2303,90,99,2.00.146773
2021-02-09,19:41:02.186523,51.79.37.206:2303,90,99,2.00.146773
2021-02-09,19:46:04.119936,51.79.37.206:2303,92,99,2.00.146773
2021-02-09,19:51:06.690223,51.79.37.206:2303,92,99,2.00.146773
2021-02-09,19:56:07.953804,51.79.37.206:2303,75,99,2.00.146773
2021-02-09,20:01:09.494824,51.79.37.206:2303,74,99,2.00.146773
